Thumb_Metacarpal_X,Thumb_Metacarpal_Y,Thumb_Metacarpal_Z,Thumb_Proximal_X,Thumb_Proximal_Y,Thumb_Proximal_Z,Thumb_Intermediate_X,Thumb_Intermediate_Y,Thumb_Intermediate_Z,Thumb_Distal_X,Thumb_Distal_Y,Thumb_Distal_Z,Index_Metacarpal_X,Index_Metacarpal_Y,Index_Metacarpal_Z,Index_Proximal_X,Index_Proximal_Y,Index_Proximal_Z,Index_Intermediate_X,Index_Intermediate_Y,Index_Intermediate_Z,Index_Distal_X,Index_Distal_Y,Index_Distal_Z,Middle_Metacarpal_X,Middle_Metacarpal_Y,Middle_Metacarpal_Z,Middle_Proximal_X,Middle_Proximal_Y,Middle_Proximal_Z,Middle_Intermediate_X,Middle_Intermediate_Y,Middle_Intermediate_Z,Middle_Distal_X,Middle_Distal_Y,Middle_Distal_Z,Ring_Metacarpal_X,Ring_Metacarpal_Y,Ring_Metacarpal_Z,Ring_Proximal_X,Ring_Proximal_Y,Ring_Proximal_Z,Ring_Intermediate_X,Ring_Intermediate_Y,Ring_Intermediate_Z,Ring_Distal_X,Ring_Distal_Y,Ring_Distal_Z,Pinky_Metacarpal_X,Pinky_Metacarpal_Y,Pinky_Metacarpal_Z,Pinky_Proximal_X,Pinky_Proximal_Y,Pinky_Proximal_Z,Pinky_Intermediate_X,Pinky_Intermediate_Y,Pinky_Intermediate_Z,Pinky_Distal_X,Pinky_Distal_Y,Pinky_Distal_Z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.905,0.329,0.27,0.483,0.359,0.799,0.884,0.282,0.372,0.704,0.292,0.647,0.71,0.046,0.703,0.709,0.085,0.7,0.713,-0.015,0.701,0.607,0.282,0.743,0.602,0.063,0.796,0.602,0.063,0.796,0.602,0.063,0.796,0.485,0.269,0.832,0.549,0.096,0.83,0.515,0.284,0.809,0.507,0.217,0.835,0.371,0.212,0.904,0.415,0.106,0.904,-0.017,0.772,-0.636,0.341,0.668,-0.661
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.167,0.973,-0.161,0.424,0.883,-0.203,0.652,0.723,-0.229,0.148,0.829,-0.54,0.336,0.889,-0.311,0.588,0.764,0.266,0.597,0.302,0.743,0.252,0.761,-0.597,0.229,0.771,-0.594,0.402,0.663,0.632,0.24,0.158,0.958,0.364,0.672,-0.645,0.258,0.767,-0.587,0.39,0.64,0.662,0.286,0.335,0.898,0.437,0.56,-0.704,0.376,0.725,-0.577,0.279,0.772,0.572,0.013,0.286,0.958
0.0,0.0,0.0,0.347,0.935,-0.069,0.373,0.926,-0.056,0.809,0.541,0.229,0.461,0.796,-0.392,0.414,0.908,-0.066,0.324,0.616,0.718,0.093,0.101,0.991,0.578,0.728,-0.37,0.406,0.913,-0.041,0.26,0.917,0.303,-0.066,0.63,0.774,0.694,0.638,-0.335,0.479,0.878,0.015,0.434,0.898,0.069,-0.23,0.765,0.602,0.785,0.524,-0.331,0.59,0.805,0.058,0.382,0.909,0.17,0.353,0.917,0.187
0.0,0.0,0.0,0.324,0.941,0.102,0.635,0.755,0.164,0.912,0.352,0.211,0.546,0.838,-0.006,0.562,0.827,-0.021,0.528,0.806,0.268,0.38,0.594,0.709,0.653,0.757,-0.036,0.696,0.716,0.052,0.046,-0.028,0.999,0.046,-0.028,0.999,0.756,0.651,-0.065,0.815,0.539,0.212,-0.004,-0.114,0.993,-0.784,-0.569,0.246,0.83,0.543,-0.129,0.832,0.492,0.255,0.012,0.04,0.999,-0.806,-0.453,0.38
0.0,0.0,0.0,0.42,0.89,0.176,0.609,0.596,0.523,0.616,-0.062,0.785,0.652,0.739,0.168,0.864,0.456,0.212,0.614,0.608,0.504,0.525,0.631,0.572,0.729,0.644,0.23,0.305,0.727,0.615,-0.137,0.423,0.895,-0.73,-0.507,0.458,0.797,0.527,0.297,0.235,0.603,0.763,-0.915,-0.326,0.235,-0.859,-0.503,-0.092,0.861,0.397,0.319,0.469,0.677,0.567,-0.926,0.121,0.358,-0.819,-0.488,-0.302
