Thumb_Metacarpal_X,Thumb_Metacarpal_Y,Thumb_Metacarpal_Z,Thumb_Proximal_X,Thumb_Proximal_Y,Thumb_Proximal_Z,Thumb_Intermediate_X,Thumb_Intermediate_Y,Thumb_Intermediate_Z,Thumb_Distal_X,Thumb_Distal_Y,Thumb_Distal_Z,Index_Metacarpal_X,Index_Metacarpal_Y,Index_Metacarpal_Z,Index_Proximal_X,Index_Proximal_Y,Index_Proximal_Z,Index_Intermediate_X,Index_Intermediate_Y,Index_Intermediate_Z,Index_Distal_X,Index_Distal_Y,Index_Distal_Z,Middle_Metacarpal_X,Middle_Metacarpal_Y,Middle_Metacarpal_Z,Middle_Proximal_X,Middle_Proximal_Y,Middle_Proximal_Z,Middle_Intermediate_X,Middle_Intermediate_Y,Middle_Intermediate_Z,Middle_Distal_X,Middle_Distal_Y,Middle_Distal_Z,Ring_Metacarpal_X,Ring_Metacarpal_Y,Ring_Metacarpal_Z,Ring_Proximal_X,Ring_Proximal_Y,Ring_Proximal_Z,Ring_Intermediate_X,Ring_Intermediate_Y,Ring_Intermediate_Z,Ring_Distal_X,Ring_Distal_Y,Ring_Distal_Z,Pinky_Metacarpal_X,Pinky_Metacarpal_Y,Pinky_Metacarpal_Z,Pinky_Proximal_X,Pinky_Proximal_Y,Pinky_Proximal_Z,Pinky_Intermediate_X,Pinky_Intermediate_Y,Pinky_Intermediate_Z,Pinky_Distal_X,Pinky_Distal_Y,Pinky_Distal_Z
0.0,0.0,0.0,0.917,0.333,-0.218,0.894,0.428,-0.13,0.782,0.618,0.081,0.86,0.346,0.376,0.919,0.296,0.262,0.811,0.58,0.077,0.799,0.598,0.063,0.79,0.367,0.492,0.782,0.307,0.543,0.782,0.307,0.543,0.581,0.718,0.384,0.695,0.385,0.608,0.666,0.433,0.607,-0.258,0.931,-0.258,-0.189,0.963,-0.193,0.6,0.357,0.716,0.416,0.283,0.864,0.467,0.361,0.807,0.502,0.412,0.761
0.0,0.0,0.0,0.917,0.339,-0.21,0.9,0.412,-0.142,0.811,0.583,0.042,0.865,0.323,0.384,0.93,0.251,0.268,0.834,0.543,0.099,0.799,0.599,0.059,0.796,0.339,0.502,0.785,0.276,0.555,0.785,0.276,0.555,0.506,0.784,0.359,0.701,0.353,0.619,0.693,0.353,0.629,-0.014,1.0,0.013,0.05,0.995,0.089,0.608,0.322,0.726,0.417,0.259,0.871,0.455,0.324,0.829,0.496,0.389,0.776
0.0,0.0,0.0,-0.583,0.664,0.469,-0.304,0.904,0.302,0.216,0.975,-0.049,-0.6,0.793,0.102,-0.028,0.726,0.687,0.384,0.807,0.448,0.673,0.726,0.142,-0.566,0.824,-0.027,0.429,0.79,0.438,0.818,-0.564,0.114,0.336,-0.922,-0.193,-0.514,0.841,-0.168,0.483,0.772,0.413,0.62,-0.701,0.352,0.077,-0.996,-0.051,-0.485,0.818,-0.309,0.393,0.753,0.528,0.504,-0.684,0.527,0.136,-0.988,0.068
0.0,0.0,0.0,-0.583,0.664,0.469,-0.304,0.904,0.302,0.216,0.975,-0.049,-0.6,0.793,0.102,-0.028,0.726,0.687,0.384,0.807,0.448,0.673,0.726,0.142,-0.566,0.824,-0.027,0.429,0.79,0.438,0.818,-0.564,0.114,0.336,-0.922,-0.193,-0.514,0.841,-0.168,0.483,0.772,0.413,0.62,-0.701,0.352,0.077,-0.996,-0.051,-0.485,0.818,-0.309,0.393,0.753,0.528,0.504,-0.684,0.527,0.136,-0.988,0.068
0.0,0.0,0.0,-0.583,0.664,0.469,-0.304,0.904,0.302,0.216,0.975,-0.049,-0.6,0.793,0.102,-0.028,0.726,0.687,0.384,0.807,0.448,0.673,0.726,0.142,-0.566,0.824,-0.027,0.429,0.79,0.438,0.818,-0.564,0.114,0.336,-0.922,-0.193,-0.514,0.841,-0.168,0.483,0.772,0.413,0.62,-0.701,0.352,0.077,-0.996,-0.051,-0.485,0.818,-0.309,0.393,0.753,0.528,0.504,-0.684,0.527,0.136,-0.988,0.068
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
