Thumb_Metacarpal_X,Thumb_Metacarpal_Y,Thumb_Metacarpal_Z,Thumb_Proximal_X,Thumb_Proximal_Y,Thumb_Proximal_Z,Thumb_Intermediate_X,Thumb_Intermediate_Y,Thumb_Intermediate_Z,Thumb_Distal_X,Thumb_Distal_Y,Thumb_Distal_Z,Index_Metacarpal_X,Index_Metacarpal_Y,Index_Metacarpal_Z,Index_Proximal_X,Index_Proximal_Y,Index_Proximal_Z,Index_Intermediate_X,Index_Intermediate_Y,Index_Intermediate_Z,Index_Distal_X,Index_Distal_Y,Index_Distal_Z,Middle_Metacarpal_X,Middle_Metacarpal_Y,Middle_Metacarpal_Z,Middle_Proximal_X,Middle_Proximal_Y,Middle_Proximal_Z,Middle_Intermediate_X,Middle_Intermediate_Y,Middle_Intermediate_Z,Middle_Distal_X,Middle_Distal_Y,Middle_Distal_Z,Ring_Metacarpal_X,Ring_Metacarpal_Y,Ring_Metacarpal_Z,Ring_Proximal_X,Ring_Proximal_Y,Ring_Proximal_Z,Ring_Intermediate_X,Ring_Intermediate_Y,Ring_Intermediate_Z,Ring_Distal_X,Ring_Distal_Y,Ring_Distal_Z,Pinky_Metacarpal_X,Pinky_Metacarpal_Y,Pinky_Metacarpal_Z,Pinky_Proximal_X,Pinky_Proximal_Y,Pinky_Proximal_Z,Pinky_Intermediate_X,Pinky_Intermediate_Y,Pinky_Intermediate_Z,Pinky_Distal_X,Pinky_Distal_Y,Pinky_Distal_Z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.867,0.375,-0.328,-0.699,0.266,-0.664,-0.449,0.13,-0.884,-0.532,0.387,-0.753,-0.537,0.175,-0.826,-0.527,-0.324,-0.786,-0.376,-0.758,-0.533,-0.416,0.381,-0.825,-0.455,0.215,-0.864,-0.534,-0.263,-0.803,-0.463,-0.74,-0.487,-0.28,0.364,-0.888,-0.336,0.231,-0.913,-0.48,-0.203,-0.853,-0.517,-0.664,-0.541,-0.137,0.377,-0.916,-0.157,0.252,-0.955,-0.435,-0.156,-0.887,-0.621,-0.586,-0.521
0.0,0.0,0.0,0.815,0.563,-0.138,0.744,0.597,-0.3,0.524,0.606,-0.598,0.703,0.338,-0.626,0.605,0.326,-0.727,0.022,0.904,-0.426,-0.019,0.918,-0.396,0.637,0.267,-0.723,0.05,0.887,-0.46,-0.643,0.701,0.308,-0.627,-0.267,0.732,0.549,0.185,-0.815,-0.111,0.919,-0.379,-0.425,0.06,0.903,-0.194,-0.551,0.812,0.478,0.073,-0.875,0.075,0.871,-0.486,-0.4,0.225,0.889,-0.343,-0.243,0.907
0.0,0.0,0.0,0.815,0.563,-0.138,0.744,0.597,-0.3,0.524,0.606,-0.598,0.703,0.338,-0.626,0.605,0.326,-0.727,0.022,0.904,-0.426,-0.019,0.918,-0.396,0.637,0.267,-0.723,0.05,0.887,-0.46,-0.643,0.701,0.308,-0.627,-0.267,0.732,0.549,0.185,-0.815,-0.111,0.919,-0.379,-0.425,0.06,0.903,-0.194,-0.551,0.812,0.478,0.073,-0.875,0.075,0.871,-0.486,-0.4,0.225,0.889,-0.343,-0.243,0.907
0.0,0.0,0.0,0.815,0.563,-0.138,0.744,0.597,-0.3,0.524,0.606,-0.598,0.703,0.338,-0.626,0.605,0.326,-0.727,0.022,0.904,-0.426,-0.019,0.918,-0.396,0.637,0.267,-0.723,0.05,0.887,-0.46,-0.643,0.701,0.308,-0.627,-0.267,0.732,0.549,0.185,-0.815,-0.111,0.919,-0.379,-0.425,0.06,0.903,-0.194,-0.551,0.812,0.478,0.073,-0.875,0.075,0.871,-0.486,-0.4,0.225,0.889,-0.343,-0.243,0.907
0.0,0.0,0.0,0.815,0.563,-0.138,0.744,0.597,-0.3,0.524,0.606,-0.598,0.703,0.338,-0.626,0.605,0.326,-0.727,0.022,0.904,-0.426,-0.019,0.918,-0.396,0.637,0.267,-0.723,0.05,0.887,-0.46,-0.643,0.701,0.308,-0.627,-0.267,0.732,0.549,0.185,-0.815,-0.111,0.919,-0.379,-0.425,0.06,0.903,-0.194,-0.551,0.812,0.478,0.073,-0.875,0.075,0.871,-0.486,-0.4,0.225,0.889,-0.343,-0.243,0.907
0.0,0.0,0.0,-0.93,-0.076,-0.359,-0.862,-0.239,-0.448,-0.702,-0.458,-0.546,-0.728,-0.07,-0.682,-0.767,-0.597,-0.236,-0.181,-0.819,0.545,0.2,-0.625,0.754,-0.642,-0.151,-0.752,-0.772,-0.632,-0.067,-0.078,-0.621,0.78,0.379,-0.288,0.879,-0.534,-0.238,-0.811,-0.702,-0.705,0.096,0.048,-0.305,0.951,0.518,0.186,0.835,-0.408,-0.283,-0.868,-0.765,-0.633,0.119,-0.067,-0.134,0.989,0.431,0.282,0.857
0.0,0.0,0.0,-1.0,-0.026,-0.013,-0.975,-0.121,-0.185,-0.875,-0.247,-0.416,-0.81,-0.147,-0.567,-0.824,0.01,-0.567,-0.802,-0.343,-0.49,-0.611,-0.734,-0.298,-0.723,-0.154,-0.673,-0.673,0.059,-0.738,-0.702,-0.161,-0.694,-0.643,-0.594,-0.484,-0.612,-0.161,-0.775,-0.529,0.073,-0.845,-0.575,-0.128,-0.808,-0.595,-0.471,-0.651,-0.498,-0.124,-0.858,-0.363,0.101,-0.926,-0.491,-0.211,-0.845,-0.578,-0.58,-0.574
0.0,0.0,0.0,-0.958,-0.21,-0.195,-0.926,-0.263,-0.269,-0.883,-0.317,-0.345,-0.818,-0.089,-0.569,-0.643,-0.629,-0.437,-0.079,-0.997,-0.02,0.277,-0.932,0.232,-0.731,-0.096,-0.675,-0.661,-0.598,-0.454,-0.138,-0.985,0.104,0.187,-0.908,0.376,-0.62,-0.104,-0.777,-0.606,-0.575,-0.55,-0.221,-0.972,0.083,0.061,-0.908,0.415,-0.505,-0.07,-0.86,-0.555,-0.579,-0.598,-0.358,-0.921,0.151,-0.16,-0.853,0.497
